13:48:05  |  Core  |  Info  |  Gui successfully initialized  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  111
13:48:05  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using texture size 256 x 256.  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  778
13:48:05  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using real height 16 pixels.  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  779
13:48:05  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using texture size 512 x 512.  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  778
13:48:05  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using real height 32 pixels.  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  779
13:48:05  |  Core  |  Info  |  Load ini file 'skins.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'core.skin'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_resources.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_text.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_windows.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_button.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_list.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_edit.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_box.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_progress.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_hud_energybar.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_hud_box.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_mainmenu.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_console.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_journal.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_map_window.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_dialogue_window.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_scroll.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_debug_window.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_postprocessor_hud.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_layers.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_pointer.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_settings.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
13:48:05  |  Core  |  Info  |  Load ini file 'openmw_lua.xml'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
14:00:57  |  Core  |  Info  |  * Shutdown: Gui  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  125
14:00:57  |  Core  |  Info  |  * Shutdown: PointerManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  69
14:00:57  |  Core  |  Info  |  PointerManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  86
14:00:57  |  Core  |  Info  |  * Shutdown: InputManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  73
14:00:57  |  Core  |  Info  |  InputManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
14:00:57  |  Core  |  Info  |  * Shutdown: SkinManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
14:00:57  |  Core  |  Info  |  SkinManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  60
14:00:57  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  63
14:00:57  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  83
14:00:57  |  Core  |  Info  |  * Shutdown: LayerManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  48
14:00:57  |  Core  |  Info  |  destroy layer 'Scene'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'FadeToBlack'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'HitOverlay'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'HUD'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'JournalBooks'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Windows'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'DrowningBar'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'MainMenuBackground'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'MainMenu'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'LoadingScreenBackground'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
